True News,Count,Percentage,Precision,Recall,F1,Accuracy,,,,,,,,,,,,,,,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage,,,,
0.9787000000000012,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9786000000000012,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9785000000000013,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9784000000000013,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9783000000000013,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9782000000000013,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9781000000000013,75,1.00%,100.00%,1.92%,3.78%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.96%,100.00%,66.63%,49.96%,不确定,0,0.00%,--,--,--,--
0.9780000000000013,75,1.00%,100.00%,1.92%,3.78%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.96%,100.00%,66.63%,49.96%,不确定,0,0.00%,--,--,--,--
0.9779000000000013,75,1.00%,100.00%,1.92%,3.78%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.96%,100.00%,66.63%,49.96%,不确定,0,0.00%,--,--,--,--
0.9778000000000013,75,1.00%,100.00%,1.92%,3.78%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.96%,100.00%,66.63%,49.96%,不确定,0,0.00%,--,--,--,--
0.9777000000000013,75,1.00%,100.00%,1.92%,3.78%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.96%,100.00%,66.63%,49.96%,不确定,0,0.00%,--,--,--,--
